,Job Family,Total Benefits,Total Compensation,Percentage
0,Administrative-DPW/PUC,51357.65,211601.43,24.270937110396655
1,Administrative-Labor & Trades,40301.818717948714,183350.85743589743,21.980709161416883
2,Agriculture & Horticulture,29578.258461538462,100279.34669683248,29.49586274326291
3,Airport Operation,34531.437718550114,126629.4809381663,27.269666954894934
4,"Budget, Admn & Stats Analysis",26404.129523809523,91785.63166666667,28.767170900670042
5,"Clerical, Secretarial & Steno",11203.637916041973,37675.82889805095,29.736938094603033
6,Community Development,229.67,735.11,31.24294323298554
7,Computer Operatns & Repro Svcs,22222.89390070922,73466.20546099292,30.24913803736403
8,Construction Inspection,34578.04464419475,130123.71786516863,26.573206800026856
9,Correction & Detention,35272.27443659485,153870.78922642194,22.92330767517638
10,Dietary & Food,18344.15466165413,61278.415288220574,29.935752377689816
11,Emergency Services,12765.359999999999,44038.855,28.986584687544664
12,Energy & Environment,3309.92,12759.42,25.940991048182443
13,Fire Services,41434.13198777371,203525.46785052246,20.358205007642905
14,Health & Sanitation Inspection,38702.501818181816,141710.38454545455,27.310984965796724
15,Hospital Administration,31508.7717948718,107011.03166666663,29.44441456561213
16,Housekeeping & Laundry,27542.950638629274,89353.14063862932,30.8248265721528
17,Human Services,30504.52149540515,107980.90344193834,28.249922461342926
18,Information Systems,25485.276617647054,90188.0098529412,28.257943222389365
19,Journeyman Trade,36772.678593241,142543.27119299633,25.79755486560475
20,"Lab, Pharmacy & Med Techs",35148.5193220339,138758.96140435833,25.33063015628042
21,Legal & Court,31545.4952688172,120310.69010752688,26.220026865961472
22,Library,25567.530000000002,86808.41750000001,29.45282351218993
23,Management,51668.104999999996,191391.52000000002,26.99602626072461
24,Med Therapy & Auxiliary,27745.85527607362,95597.20297546007,29.02371033093512
25,Medical & Dental,37357.501818181816,172121.80363636365,21.704107805601343
26,Museum & Cultural Affairs,26548.462,79514.714,33.388112293279455
27,Nursing,28294.720922266206,110956.63416776467,25.500702264891196
28,Park & Zoo,24215.619428571434,72228.71085714287,33.526307116938796
29,"Payroll, Billing & Accounting",30304.722010869562,102787.54923913044,29.48287242491504
30,Personnel,14495.32328125,48918.71898437502,29.631444940085018
31,Police Services,33461.61712724427,169422.24612021836,19.750427050471657
32,Port Operation,32223.25,121815.55,26.45249313408674
33,Probation & Parole,33941.60400000001,133933.51385714288,25.342129107583215
34,Professional Engineering,27774.197659574475,100512.80319148934,27.632497331371
35,Property Administration,26791.14333333333,93551.40999999999,28.637882992178664
36,Protection & Apprehension,30955.77044768071,113533.21590075517,27.265827187297003
37,Pub Relations & Spec Assts,29035.901,100549.64800000002,28.877178167744553
38,Public Health,27525.28,90574.9,30.38952292522542
39,Public Safety Inspection,40492.05741935484,163378.16109677433,24.784253383394393
40,Public Service Aide,13650.231153846156,38340.87318681318,35.60229598146181
41,Purchasing & Storekeeping,29026.18622406641,100636.11443983405,28.842713558282203
42,Recreation,5745.457777777778,19226.589166666665,29.882875885956604
43,Revenue,18637.744375000006,58102.720625,32.07723179657907
44,SF Superior Court,26054.288,88933.732,29.296294458889903
45,Semi-Skilled & General Labor,26485.57201492541,89463.69062189052,29.60482831729363
46,Skilled Labor,31783.017835723564,118824.55400260737,26.747853675955014
47,Street Transit,32240.61702644686,106717.48690250752,30.211184654208072
48,Sub-Professional Engineering,24438.911237113403,86482.07185567006,28.25893357168814
49,Supervisory-Labor & Trade,39170.36342892771,160638.26568578553,24.384204636239293
